temp,humi,time,weather
0.015,0.84,7,0.8
0.016875,0.84,7,0.8
0.01875,0.84,7,0.8
0.020625,0.84,7,0.8
0.0225,0.84,8,0.8
0.035,0.82,8,0.8
0.0475,0.8,8,0.8
0.06,0.78,8,0.8
0.0725,0.76,9,0.8
0.09125,0.735,9,0.8
0.11,0.71,9,0.8
0.12875,0.685,9,0.8
0.1475,0.66,10,0.8
0.161875,0.64,10,0.8
0.17625,0.62,10,0.8
0.190625,0.6,10,0.8
0.205,0.58,11,0.8
0.214375,0.57,11,0.8
0.22375,0.56,11,0.8
0.233125,0.55,11,0.8
0.2425,0.54,12,0.8
0.249375,0.54,12,0.7
0.25625,0.54,12,0.6
0.263125,0.54,12,0.5
0.27,0.54,13,0.4
0.2725,0.54,13,0.4
0.275,0.54,13,0.4
0.2775,0.54,13,0.4
0.28,0.54,14,0.4
0.276875,0.545,14,0.4
0.27375,0.55,14,0.4
0.270625,0.555,14,0.4
0.2675,0.56,15,0.4
0.263125,0.56,15,0.4
0.25875,0.56,15,0.4
0.254375,0.56,15,0.4
0.25,0.56,16,0.4
0.241875,0.575,16,0.4
0.23375,0.59,16,0.4
0.225625,0.605,16,0.4
0.2175,0.62,17,0.4
0.025,0.74,7,0.8
0.03,0.735,7,0.8
0.035,0.73,7,0.8
0.04,0.725,7,0.8
0.045,0.72,8,0.8
0.05875,0.71,8,0.8
0.0725,0.7,8,0.8
0.08625,0.69,8,0.8
0.1,0.68,9,0.8
0.11625,0.67,9,0.8
0.1325,0.66,9,0.8
0.14875,0.65,9,0.8
0.165,0.64,10,0.8
0.179375,0.635,10,0.8
0.19375,0.63,10,0.8
0.208125,0.625,10,0.8
0.2225,0.62,11,0.8
0.231875,0.62,11,0.8
0.24125,0.62,11,0.8
0.250625,0.62,11,0.8
0.26,0.62,12,0.8
0.265625,0.615,12,0.8
0.27125,0.61,12,0.8
0.276875,0.605,12,0.8
0.2825,0.6,13,0.8
0.285,0.6,13,0.8
0.2875,0.6,13,0.8
0.29,0.6,13,0.8
0.2925,0.6,14,0.8
0.290625,0.595,14,0.8
0.28875,0.59,14,0.8
0.286875,0.585,14,0.8
0.285,0.58,15,0.8
0.2825,0.59,15,0.8
0.28,0.6,15,0.8
0.2775,0.61,15,0.8
0.275,0.62,16,0.8
0.26625,0.64,16,0.8
0.2575,0.66,16,0.8
0.24875,0.68,16,0.8
0.24,0.7,17,0.8
0.1275,0.78,7,0.4
0.126875,0.745,7,0.4
0.12625,0.71,7,0.4
0.125625,0.675,7,0.4
0.125,0.64,8,0.4
0.126875,0.64,8,0.4
0.12875,0.64,8,0.4
0.130625,0.64,8,0.4
0.1325,0.64,9,0.4
0.136875,0.63,9,0.4
0.14125,0.62,9,0.4
0.145625,0.61,9,0.4
0.15,0.6,10,0.4
0.1575,0.6,10,0.4
0.165,0.6,10,0.4
0.1725,0.6,10,0.4
0.18,0.6,11,0.4
0.188125,0.575,11,0.4
0.19625,0.55,11,0.4
0.204375,0.525,11,0.4
0.2125,0.5,12,0.4
0.214375,0.49,12,0.4
0.21625,0.48,12,0.4
0.218125,0.47,12,0.4
0.22,0.46,13,0.4
0.210625,0.49,13,0.4
0.20125,0.52,13,0.4
0.191875,0.55,13,0.4
0.1825,0.58,14,0.4
0.171875,0.575,14,0.4
0.16125,0.57,14,0.4
0.150625,0.565,14,0.4
0.14,0.56,15,0.4
0.1325,0.535,15,0.5
0.125,0.51,15,0.6
0.1175,0.485,15,0.7
0.11,0.46,16,0.8
0.105625,0.46,16,0.8
0.10125,0.46,16,0.8
0.096875,0.46,16,0.8
0.0925,0.46,17,0.8
0.0225,0.62,7,0.4
0.02375,0.62,7,0.4
0.025,0.62,7,0.4
0.02625,0.62,7,0.4
0.0275,0.62,8,0.4
0.033125,0.605,8,0.4
0.03875,0.59,8,0.4
0.044375,0.575,8,0.4
0.05,0.56,9,0.4
0.055,0.545,9,0.5
0.06,0.53,9,0.6
0.065,0.515,9,0.7
0.07,0.5,10,0.8
0.075625,0.495,10,0.8
0.08125,0.49,10,0.8
0.086875,0.485,10,0.8
0.0925,0.48,11,0.8
0.098125,0.48,11,0.8
0.10375,0.48,11,0.8
0.109375,0.48,11,0.8
0.115,0.48,12,0.8
0.119375,0.475,12,0.8
0.12375,0.47,12,0.8
0.128125,0.465,12,0.8
0.1325,0.46,13,0.8
0.135,0.46,13,0.8
0.1375,0.46,13,0.8
0.14,0.46,13,0.8
0.1425,0.46,14,0.8
0.139375,0.465,14,0.8
0.13625,0.47,14,0.8
0.133125,0.475,14,0.8
0.13,0.48,15,0.8
0.124375,0.48,15,0.8
0.11875,0.48,15,0.8
0.113125,0.48,15,0.8
0.1075,0.48,16,0.8
0.1,0.49,16,0.8
0.0925,0.5,16,0.8
0.085,0.51,16,0.8
0.0775,0.52,17,0.8
0.0025,0.58,7,0.8
0.004375,0.6,7,0.8
0.00625,0.62,7,0.8
0.008125,0.64,7,0.8
0.01,0.66,8,0.8
0.016875,0.635,8,0.8
0.02375,0.61,8,0.8
0.030625,0.585,8,0.8
0.0375,0.56,9,0.8
0.04,0.565,9,0.7
0.0425,0.57,9,0.6
0.045,0.575,9,0.5
0.0475,0.58,10,0.4
0.05,0.585,10,0.4
0.0525,0.59,10,0.4
0.055,0.595,10,0.4
0.0575,0.6,11,0.4
0.06125,0.595,11,0.4
0.065,0.59,11,0.4
0.06875,0.585,11,0.4
0.0725,0.58,12,0.4
0.075,0.575,12,0.3
0.0775,0.57,12,0.2
0.08,0.565,12,0.1
0.0825,0.56,13,0
0.081875,0.575,13,0
0.08125,0.59,13,0
0.080625,0.605,13,0
0.08,0.62,14,0
0.076875,0.625,14,0
0.07375,0.63,14,0
0.070625,0.635,14,0
0.0675,0.64,15,0
0.065,0.605,15,0.2
0.0625,0.57,15,0.4
0.06,0.535,15,0.6
0.0575,0.5,16,0.8
0.0525,0.49,16,0.8
0.0475,0.48,16,0.8
0.0425,0.47,16,0.8
0.0375,0.46,17,0.8
-0.01,0.64,7,0.8
-0.00875,0.645,7,0.8
-0.0075,0.65,7,0.8
-0.00625,0.655,7,0.8
-0.005,0.66,8,0.8
0,0.645,8,0.8
0.005,0.63,8,0.8
0.01,0.615,8,0.8
0.015,0.6,9,0.8
0.020625,0.585,9,0.8
0.02625,0.57,9,0.8
0.031875,0.555,9,0.8
0.0375,0.54,10,0.8
0.044375,0.535,10,0.8
0.05125,0.53,10,0.8
0.058125,0.525,10,0.8
0.065,0.52,11,0.8
0.070625,0.515,11,0.8
0.07625,0.51,11,0.8
0.081875,0.505,11,0.8
0.0875,0.5,12,0.8
0.0925,0.5,12,0.8
0.0975,0.5,12,0.8
0.1025,0.5,12,0.8
0.1075,0.5,13,0.8
0.111875,0.5,13,0.8
0.11625,0.5,13,0.8
0.120625,0.5,13,0.8
0.125,0.5,14,0.8
0.125625,0.505,14,0.8
0.12625,0.51,14,0.8
0.126875,0.515,14,0.8
0.1275,0.52,15,0.8
0.12375,0.525,15,0.8
0.12,0.53,15,0.8
0.11625,0.535,15,0.8
0.1125,0.54,16,0.8
0.10625,0.55,16,0.8
0.1,0.56,16,0.8
0.09375,0.57,16,0.8
0.0875,0.58,17,0.8
-0.0425,0.68,7,0.8
-0.041875,0.675,7,0.8
-0.04125,0.67,7,0.8
-0.040625,0.665,7,0.8
-0.04,0.66,8,0.8
-0.03,0.65,8,0.8
-0.02,0.64,8,0.8
-0.01,0.63,8,0.8
0,0.62,9,0.8
0.013125,0.605,9,0.8
0.02625,0.59,9,0.8
0.039375,0.575,9,0.8
0.0525,0.56,10,0.8
0.06625,0.56,10,0.8
0.08,0.56,10,0.8
0.09375,0.56,10,0.8
0.1075,0.56,11,0.8
0.115625,0.555,11,0.8
0.12375,0.55,11,0.8
0.131875,0.545,11,0.8
0.14,0.54,12,0.8
0.1475,0.535,12,0.8
0.155,0.53,12,0.8
0.1625,0.525,12,0.8
0.17,0.52,13,0.8
0.175625,0.525,13,0.8
0.18125,0.53,13,0.8
0.186875,0.535,13,0.8
0.1925,0.54,14,0.8
0.194375,0.545,14,0.8
0.19625,0.55,14,0.8
0.198125,0.555,14,0.8
0.2,0.56,15,0.8
0.19625,0.56,15,0.8
0.1925,0.56,15,0.8
0.18875,0.56,15,0.8
0.185,0.56,16,0.8
0.17625,0.575,16,0.8
0.1675,0.59,16,0.8
0.15875,0.605,16,0.8
0.15,0.62,17,0.8
