temp,humi,time,weather
0.577500,0.920000,7,0.000000
0.577500,0.925000,7,0.000000
0.577500,0.930000,7,0.000000
0.577500,0.935000,7,0.000000
0.577500,0.940000,8,0.000000
0.578125,0.935000,8,0.000000
0.578750,0.930000,8,0.000000
0.579375,0.925000,8,0.000000
0.580000,0.920000,9,0.000000
0.580000,0.920000,9,0.000000
0.580000,0.920000,9,0.000000
0.580000,0.920000,9,0.000000
0.580000,0.920000,10,0.000000
0.580625,0.925000,10,0.000000
0.581250,0.930000,10,0.000000
0.581875,0.935000,10,0.000000
0.582500,0.940000,11,0.000000
0.582500,0.940000,11,0.000000
0.582500,0.940000,11,0.000000
0.582500,0.940000,11,0.000000
0.582500,0.940000,12,0.300000
0.583125,0.940000,12,0.300000
0.583750,0.940000,12,0.300000
0.584375,0.940000,12,0.300000
0.585000,0.940000,13,0.000000
0.585625,0.940000,13,0.000000
0.586250,0.940000,13,0.000000
0.586875,0.940000,13,0.000000
0.587500,0.940000,14,0.000000
0.587500,0.945000,14,0.000000
0.587500,0.950000,14,0.000000
0.587500,0.955000,14,0.000000
0.587500,0.960000,15,0.200000
0.586875,0.960000,15,0.200000
0.586250,0.960000,15,0.200000
0.585625,0.960000,15,0.200000
0.585000,0.960000,16,0.300000
0.585000,0.960000,16,0.300000
0.585000,0.960000,16,0.300000
0.585000,0.960000,16,0.300000
0.585000,0.960000,17,0.300000
